Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
36,Marques Colston\ColsMa00,WR,31.122,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,6,3,63,21.00,0,50.0%,10.50
37,DeAndre Hopkins\HopkDe00,WR,22.121,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,6,6,63,10.50,0,100.0%,10.50
38,Preston Parker\ParkPr00,WR,27.234,2014-10-05,NFL,NYG,,ATL,W 30-20,5,5,Sun,3,3,61,20.33,0,100.0%,20.33
39,Antonio Gates\GateAn00,TE,34.109,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,6,4,60,15.00,2,66.7%,10.00
40,Dwayne Allen\AlleDw00,TE,24.223,2014-10-05,NFL,IND,,BAL,W 20-13,5,5,Sun,5,4,59,14.75,1,80.0%,11.80
41,Roy Helu\HeluRo00,RB,25.303,2014-10-06,NFL,WAS,,SEA,L 17-27,5,5,Mon,7,5,59,11.80,0,71.4%,8.43
42,Jason Witten\WittJa00,TE,32.152,2014-10-05,NFL,DAL,,HOU,W 20-17,5,5,Sun,5,4,59,14.75,0,80.0%,11.80
43,Fred Jackson\JackFr02,RB,33.227,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,9,7,58,8.29,0,77.8%,6.44
44,Andre Johnson\JohnAn02,WR,33.086,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,8,5,58,11.60,0,62.5%,7.25
45,Wes Welker\WelkWe00,WR,33.157,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,9,7,58,8.29,0,77.8%,6.44
46,Larry Fitzgerald\FitzLa00,WR,31.035,2014-10-05,NFL,ARI,@,DEN,L 20-41,4,5,Sun,7,3,57,19.00,0,42.9%,8.14
47,Adam Thielen\ThieAd00,WR,24.041,2014-10-02,NFL,MIN,@,GNB,L 10-42,5,5,Thu,5,4,57,14.25,0,80.0%,11.40
48,Nate Washington\WashNa00,WR,31.038,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,7,4,57,14.25,0,57.1%,8.14
49,Brandin Cooks\CookBr00,WR,21.010,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,11,9,56,6.22,0,81.8%,5.09
50,DeMarco Murray\MurrDe00,RB,26.235,2014-10-05,NFL,DAL,,HOU,W 20-17,5,5,Sun,8,6,56,9.33,0,75.0%,7.00
51,Justin Forsett\ForsJu00,RB,28.356,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,8,7,55,7.86,0,87.5%,6.88
52,Miles Austin\AustMi00,WR,30.097,2014-10-05,NFL,CLE,@,TEN,W 29-28,4,5,Sun,3,2,54,27.00,0,66.7%,18.00
53,Josh Hill\HillJo02,TE,24.137,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,3,3,53,17.67,0,100.0%,17.67
54,Allen Robinson\RobiAl02,WR,21.042,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,11,5,51,10.20,0,45.5%,4.64
55,Doug Baldwin\BaldDo00,WR,26.015,2014-10-06,NFL,SEA,@,WAS,W 27-17,4,5,Mon,5,4,50,12.50,0,80.0%,10.00
56,Junior Hemingway\HemiJu00,WR,25.282,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,4,4,50,12.50,0,100.0%,12.50
57,Travis Benjamin\BenjTr00,WR,24.280,2014-10-05,NFL,CLE,@,TEN,W 29-28,4,5,Sun,4,4,48,12.00,2,100.0%,12.00
58,Delanie Walker\WalkHu00,TE,30.054,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,4,4,47,11.75,0,100.0%,11.75
59,Kendall Wright\WrigKe01,WR,24.327,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,8,6,47,7.83,2,75.0%,5.88
